EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,dir_330_embed_withnorm_v4_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Alpha_Mean,Alpha_Std,Alpha_Max,Alpha_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
854,2.417240858078003,175000,5112.63446,-34.69585,-0.19585,0.00178,2.41288,0.00250,5139.30691,-0.79436,0.02665,-0.72243,-0.86481,1.53180,0.00022,1.53219,1.53142,0.05797,0.04097,0.17493,-0.04851,-296.82610,1.84593,-292.12360,-301.62302,812.35878,74.79171,1192.95117,648.15210,2525.84399,133.28056,2891.94312,2167.34741,-1.73551,0.00707,-1.71592,-1.75579,0.45248,0.00502,0.46960,0.44155,0.96778,0.50150,2.00000,0.22859,-3.87130,0.79642,-3.07946,-8.38842,7.86405,0.09607,8.11371,7.58999,3.49942,0.13614,4.12056,3.20090,30.39305,8.71152,79.92114,20.97086,-3.94082,1.68080,-0.98329,-10.46243,-0.00370,0.00887,0.01771,-0.03661,0.92539,0.00984,0.95615,0.90200,5.21346,1.02552,7.78311,3.48379,-5.13447,1.11529,-3.53479,-10.09990
855,2.0871074199676514,175200,5009.66512,-372.50326,-0.32714,0.00180,2.08263,0.00259,4109.23775,-0.79833,0.02444,-0.73816,-0.86102,1.53106,0.00022,1.53141,1.53066,0.05653,0.03778,0.17580,-0.03654,-296.97213,1.77519,-292.08685,-301.76340,808.66390,82.58139,1060.20105,620.22180,2512.39482,129.69018,2960.84155,2206.87866,-1.73561,0.00668,-1.70945,-1.75273,0.45199,0.00526,0.46703,0.43559,0.92312,0.48131,2.00000,0.24363,-3.85932,0.72230,-3.11413,-8.38822,7.86729,0.08871,8.08582,7.58740,3.50041,0.12992,4.06619,3.20640,30.26203,8.58014,80.27984,20.81815,-3.88853,1.62303,-0.73223,-11.36768,-0.00311,0.00885,0.02101,-0.02279,0.92523,0.00961,0.95460,0.89652,5.18464,1.04025,7.78431,3.57002,-5.11383,1.18425,-3.52278,-10.10030
856,2.5138070583343506,175400,4927.68366,-105.00284,-0.65710,0.00181,2.50972,0.00220,4427.34934,-0.79111,0.02729,-0.71496,-0.86474,1.53026,0.00023,1.53066,1.52984,0.06201,0.04014,0.17633,-0.08658,-296.70345,1.66500,-291.80463,-301.09805,807.04722,78.61243,1097.07605,630.37842,2498.82757,130.73357,2878.45776,2131.03784,-1.73596,0.00682,-1.71873,-1.75728,0.45193,0.00497,0.46456,0.43914,0.93211,0.48446,2.00000,0.10803,-3.85384,0.79055,-2.94470,-8.38812,7.85423,0.09436,8.20361,7.58531,3.50869,0.13354,3.97981,3.18819,30.70366,8.70030,78.71732,21.74078,-3.99214,1.72525,-1.11237,-10.39492,-0.00280,0.00863,0.01346,-0.02567,0.92452,0.00981,0.95084,0.89693,5.06434,0.86488,7.74086,3.41156,-5.10971,1.16763,-3.25285,-10.10347
857,2.1855499744415283,175600,4917.03118,-61.72585,-0.40431,0.00179,2.18154,0.00216,5205.30210,-0.79232,0.02724,-0.71702,-0.86920,1.52939,0.00027,1.52983,1.52894,0.06855,0.04159,0.16921,-0.07423,-296.79655,1.68053,-292.51935,-301.23611,807.06672,73.13346,1017.24237,674.71906,2481.91097,138.36506,3040.96094,2146.19116,-1.73504,0.00734,-1.71468,-1.75610,0.45178,0.00506,0.46567,0.43762,1.05043,0.51944,2.00000,0.22753,-3.80192,0.56564,-3.04803,-7.03405,7.83867,0.09789,8.17472,7.60174,3.49458,0.12485,3.92834,3.16965,29.73233,6.99668,73.63913,20.65627,-3.94320,1.66063,-0.79649,-10.21166,-0.00391,0.00973,0.01922,-0.03874,0.92384,0.01011,0.96286,0.89900,5.16940,1.07241,8.77495,3.60889,-5.14607,1.04331,-3.44176,-10.01570
858,2.1844658851623535,175800,4896.72183,-39.01433,-0.09138,0.00178,2.18035,0.00226,5167.27216,-0.79626,0.02575,-0.73118,-0.85490,1.52858,0.00022,1.52894,1.52819,0.05961,0.04449,0.15489,-0.06085,-296.89305,1.82486,-290.69946,-301.17905,804.77846,74.21810,1017.78967,617.58282,2495.18083,141.12615,2836.60718,2200.86792,-1.73523,0.00688,-1.71199,-1.75447,0.45177,0.00522,0.46575,0.43961,0.96595,0.52748,2.00000,0.24674,-3.82206,0.62916,-3.01191,-8.38447,7.85952,0.10484,8.14340,7.63514,3.50561,0.14946,4.49784,3.22616,29.80914,7.42090,76.78423,20.98354,-3.79689,1.57549,-0.94660,-8.84206,-0.00398,0.00946,0.02022,-0.02606,0.92521,0.01002,0.94970,0.89503,5.07103,0.99080,8.77583,3.39503,-5.10152,1.15180,-3.15734,-10.09907
859,2.314126968383789,176000,4922.76119,-177.63157,-0.32616,0.00172,2.30979,0.00253,5294.30247,-0.79405,0.02605,-0.73337,-0.85801,1.52782,0.00022,1.52819,1.52745,0.05797,0.04535,0.16749,-0.06081,-296.62473,1.83501,-290.36447,-301.02472,811.90811,76.06543,1060.61682,642.74133,2489.13031,134.64851,2953.81885,2118.32788,-1.73526,0.00715,-1.71788,-1.75042,0.45196,0.00519,0.46897,0.43572,0.92915,0.45884,2.00000,-0.03609,-3.91049,0.80286,-3.02083,-8.38491,7.86322,0.10699,8.14341,7.60480,3.51735,0.14487,4.07645,3.17940,30.76562,9.60331,77.41756,20.29446,-4.03503,1.73417,-0.70407,-10.98266,-0.00375,0.00995,0.02405,-0.03207,0.92579,0.01039,0.95411,0.90184,5.32182,1.08213,7.79308,3.75182,-5.02791,1.06186,-3.58435,-10.09653
860,1.835991621017456,176200,4887.77639,-152.01978,-0.42843,0.00183,1.83181,0.00229,4845.12052,-0.79487,0.02440,-0.70935,-0.85527,1.52705,0.00024,1.52745,1.52663,0.06475,0.03969,0.19268,-0.05559,-296.92160,1.74712,-290.53061,-301.51514,793.27967,79.78402,1198.56543,631.02588,2489.39179,119.91421,2754.83276,2201.50000,-1.73532,0.00689,-1.71219,-1.75479,0.45144,0.00548,0.46775,0.43808,0.97803,0.49255,2.00000,0.22037,-3.88782,0.81793,-3.15356,-8.38518,7.84705,0.09376,8.13131,7.54484,3.51427,0.15022,4.15844,3.09314,30.69613,9.02793,79.38857,20.68914,-3.96182,1.67255,-0.81024,-11.83671,-0.00298,0.00992,0.02157,-0.02921,0.92423,0.01001,0.95086,0.89337,5.09809,1.04277,8.79088,3.57387,-4.96746,0.96235,-3.48426,-10.09552
861,2.066925525665283,176400,4829.23242,-127.02138,-0.46831,0.00162,2.06299,0.00225,3706.85691,-0.79350,0.02469,-0.72930,-0.84814,1.52623,0.00023,1.52663,1.52584,0.06371,0.03972,0.18730,-0.03496,-296.73019,1.83345,-290.86649,-302.95810,803.70627,76.53166,1180.71240,628.31580,2488.37541,141.34009,2868.60010,2149.09668,-1.73619,0.00655,-1.71895,-1.75277,0.45101,0.00523,0.46421,0.43522,0.89041,0.44159,2.00000,0.15007,-3.82686,0.66656,-3.09802,-7.20840,7.84932,0.09394,8.08268,7.55692,3.49992,0.12249,4.03489,3.18975,29.94759,7.04967,76.56409,20.14222,-3.67090,1.49926,-0.56751,-9.47829,-0.00388,0.00900,0.01969,-0.02803,0.92387,0.00987,0.95169,0.89730,5.21981,1.04522,7.80345,3.42134,-5.03391,1.01062,-3.45284,-10.09145
862,2.252037525177002,176600,4694.97952,-46.53552,-0.25063,0.00154,2.24801,0.00241,3830.78834,-0.79104,0.02715,-0.70410,-0.87507,1.52540,0.00024,1.52583,1.52499,0.06857,0.04424,0.17700,-0.05526,-296.52664,1.71910,-290.48523,-300.95801,806.32738,79.18106,1105.05762,632.96973,2480.00395,129.70451,2834.43530,2159.34253,-1.73566,0.00697,-1.71643,-1.75379,0.45072,0.00538,0.46883,0.43807,1.00086,0.54003,2.00000,0.28563,-3.88648,0.80158,-3.06433,-8.38587,7.83762,0.10476,8.13093,7.58093,3.50925,0.14091,4.21088,3.22495,30.54758,8.76871,79.55618,21.72780,-3.99578,1.62263,-0.61281,-9.07264,-0.00382,0.00954,0.02138,-0.02901,0.92375,0.01062,0.94943,0.89182,5.24632,1.02678,8.79401,3.64429,-5.11534,1.11771,-3.45943,-10.09212
863,2.0018415451049805,176800,4414.64866,-19.32889,-0.32603,0.00164,1.99807,0.00207,2420.95008,-0.79046,0.02757,-0.70202,-0.85523,1.52458,0.00023,1.52499,1.52419,0.06537,0.03975,0.17824,-0.03645,-296.69195,1.80740,-292.08276,-302.13925,796.26274,76.10564,1030.81787,643.67609,2462.62244,123.52160,2811.95581,2173.63062,-1.73550,0.00744,-1.71449,-1.76148,0.45133,0.00505,0.47005,0.43940,0.99181,0.50471,2.00000,0.25730,-3.80409,0.66559,-3.10051,-8.38382,7.84499,0.09424,8.08649,7.57752,3.50124,0.11739,4.05219,3.20567,30.03541,7.34214,76.22485,20.73844,-3.76726,1.50843,-0.85074,-9.27127,-0.00459,0.00978,0.01851,-0.02744,0.92383,0.00964,0.95142,0.89878,5.17474,1.07521,8.79487,3.65794,-5.20138,1.11043,-3.58136,-10.09032
864,2.001650333404541,177000,4339.85861,-114.45153,-0.45455,0.00126,1.99786,0.00245,4391.40646,-0.79385,0.02757,-0.72344,-0.87348,1.52380,0.00023,1.52419,1.52341,0.06495,0.04325,0.18378,-0.08571,-296.70842,1.72098,-292.07043,-300.82681,796.76635,74.80095,1094.17615,611.34558,2463.87332,133.80896,2829.92847,2178.61548,-1.73596,0.00729,-1.71278,-1.75415,0.45108,0.00549,0.46956,0.43684,0.91874,0.46281,2.00000,0.20629,-3.88059,0.78883,-3.14353,-7.20326,7.84579,0.10268,8.20349,7.56387,3.50874,0.13057,3.92616,3.21885,30.68405,8.26542,74.87299,21.08423,-3.94608,1.67075,-1.04585,-10.30418,-0.00361,0.00943,0.02319,-0.03153,0.92321,0.01003,0.94763,0.89488,5.25249,1.02593,7.80572,3.63076,-5.01022,1.04458,-3.42407,-10.08554
865,2.3486127853393555,177200,4463.02772,-45.57817,-0.33798,0.00121,2.34474,0.00256,5340.92886,-0.79009,0.02904,-0.72305,-0.87015,1.52299,0.00023,1.52340,1.52258,0.06877,0.03862,0.16119,-0.04894,-296.74448,1.79368,-290.02005,-301.06235,795.39050,83.98055,1163.00818,642.04822,2473.82075,148.33689,2855.78467,2136.04077,-1.73559,0.00694,-1.71383,-1.75697,0.45060,0.00547,0.46550,0.43682,1.03016,0.54445,2.00000,0.14174,-3.86094,0.67656,-3.11061,-7.20263,7.83652,0.09180,8.11639,7.61686,3.49933,0.12466,3.99624,3.19593,30.60188,8.41122,77.62469,20.94609,-3.91260,1.67165,-0.77027,-9.55416,-0.00409,0.00986,0.01899,-0.03317,0.92256,0.00913,0.94856,0.89819,5.27468,1.04609,8.80500,3.72382,-5.06411,1.04692,-3.52085,-10.09389
866,2.4690208435058594,177400,4364.29509,-71.25993,-0.38961,0.00179,2.46452,0.00263,3440.02304,-0.78939,0.02766,-0.71051,-0.86800,1.52214,0.00025,1.52258,1.52171,0.07308,0.04038,0.17541,-0.02578,-296.60181,1.74373,-291.99213,-301.75531,798.44920,78.50208,1019.19647,628.32391,2460.26785,132.58174,2999.54102,2159.85742,-1.73603,0.00646,-1.71936,-1.75373,0.45013,0.00536,0.46796,0.43672,0.95723,0.49356,2.00000,0.19001,-3.82481,0.64513,-3.01608,-7.20059,7.82606,0.09612,8.06135,7.58236,3.49558,0.12424,3.94404,3.12275,29.58113,6.88392,75.47465,21.11494,-3.79198,1.46094,-0.36746,-7.61499,-0.00500,0.00878,0.01591,-0.03088,0.92097,0.00892,0.94421,0.89639,5.06385,0.99296,8.81373,3.55628,-5.08866,1.07550,-3.45715,-10.08839
867,1.9650888442993164,177600,4363.99995,-140.03327,-0.23526,0.00175,1.96124,0.00204,5202.35068,-0.78936,0.02782,-0.72457,-0.86393,1.52128,0.00025,1.52170,1.52084,0.07486,0.03962,0.18698,-0.05027,-296.56144,1.75880,-291.38165,-301.22397,806.84937,81.12480,1108.90332,631.05042,2466.22962,135.43138,2885.87573,2074.75562,-1.73667,0.00716,-1.71568,-1.75718,0.44962,0.00504,0.46513,0.43388,0.94416,0.50128,2.00000,0.16908,-3.90591,0.82788,-3.00838,-8.38546,7.82157,0.09443,8.11977,7.55429,3.50120,0.13759,4.02899,3.14686,30.51007,9.11103,79.26849,19.74494,-4.00805,1.65462,-0.94951,-11.15250,-0.00473,0.00949,0.02215,-0.03245,0.92068,0.00978,0.94745,0.89005,5.14177,1.03562,8.81370,3.34683,-5.15825,1.17727,-3.41121,-10.09012
868,2.4424588680267334,177800,4347.76955,-24.77718,-0.48022,0.00123,2.43859,0.00254,5004.96811,-0.79012,0.02580,-0.73209,-0.88494,1.52040,0.00025,1.52083,1.51998,0.07371,0.04013,0.17997,-0.02553,-296.55446,1.82710,-289.30148,-301.03964,803.93557,73.84918,1029.04456,613.33197,2485.35671,135.96740,2886.98071,2164.57886,-1.73533,0.00658,-1.72083,-1.75168,0.45018,0.00484,0.46530,0.43681,0.92085,0.48836,2.00000,0.11641,-3.86608,0.60929,-3.11423,-7.19782,7.82406,0.09577,8.06092,7.57062,3.49835,0.12893,3.94953,3.21341,29.64959,6.69275,75.69400,19.48106,-3.81964,1.42737,-1.20542,-8.60210,-0.00415,0.00933,0.02840,-0.02800,0.92215,0.00939,0.94618,0.89594,5.14653,1.00739,8.81464,3.68061,-5.05910,1.25510,-3.52153,-10.09049
869,2.3305795192718506,178000,4315.63263,-133.89108,-0.56072,0.00166,2.32628,0.00256,4972.93333,-0.79476,0.02599,-0.72636,-0.87178,1.51955,0.00024,1.51998,1.51914,0.07415,0.04101,0.16460,-0.02545,-296.57178,1.89030,-289.94595,-302.01917,788.02833,80.86209,1068.59412,639.41620,2473.21668,133.04963,2931.59497,2111.72778,-1.73628,0.00753,-1.71789,-1.76129,0.45048,0.00507,0.46530,0.43106,0.90456,0.49396,2.00000,0.18558,-3.84288,0.68184,-3.13563,-7.19912,7.82278,0.09801,8.06082,7.60641,3.51034,0.13869,4.18657,3.21183,30.55347,7.68428,75.59334,20.70999,-3.86942,1.73041,-1.02395,-12.74932,-0.00388,0.00950,0.02199,-0.02958,0.92217,0.01001,0.94805,0.88105,5.22221,0.89920,7.77220,3.72242,-5.15099,1.17190,-3.17839,-10.08862
870,2.2741544246673584,178200,4189.59841,-128.67940,-0.44734,0.00203,2.26945,0.00260,3584.77830,-0.78948,0.02676,-0.72226,-0.85201,1.51872,0.00024,1.51913,1.51831,0.07365,0.04080,0.18456,-0.03700,-296.47091,1.67398,-292.36310,-300.72067,798.57291,78.05561,1123.91492,641.78082,2455.23222,141.05846,2893.96680,2044.02075,-1.73610,0.00691,-1.71365,-1.75762,0.44994,0.00496,0.46307,0.43655,0.95733,0.47759,2.00000,0.20908,-3.86093,0.73115,-3.05113,-8.38570,7.82375,0.09763,8.08857,7.55857,3.50959,0.13446,4.17261,3.22031,30.21321,7.71416,76.52151,20.67896,-3.80137,1.52389,-1.13146,-10.14096,-0.00536,0.00916,0.01798,-0.02728,0.92141,0.00938,0.94903,0.89526,5.23528,1.01896,8.82195,3.51096,-5.05846,1.05388,-3.56253,-10.08205
871,2.3912148475646973,178400,4248.13565,-82.81466,0.00432,0.00159,2.38737,0.00219,4292.22932,-0.78889,0.02699,-0.72867,-0.86289,1.51789,0.00025,1.51830,1.51745,0.07636,0.04406,0.20172,-0.05678,-296.58297,1.68613,-291.29245,-302.18933,789.58587,79.09680,1093.44617,632.47961,2459.60779,124.01721,2847.33911,2073.67358,-1.73625,0.00685,-1.71539,-1.75736,0.44980,0.00534,0.46793,0.43319,0.90917,0.47650,2.00000,0.14428,-3.86567,0.82770,-3.01281,-8.38452,7.81703,0.10559,8.13597,7.51638,3.51929,0.13872,4.10727,3.22309,31.18383,8.99887,79.00067,21.37765,-3.93170,1.60004,-0.73904,-8.93615,-0.00424,0.00952,0.02001,-0.02765,0.92100,0.00986,0.95040,0.89464,5.06039,0.95075,7.81812,3.66791,-5.11253,1.03551,-3.39566,-10.08441
872,2.599478006362915,178600,4389.35764,-125.75464,-0.63661,0.00133,2.59591,0.00219,5243.00826,-0.78879,0.02705,-0.72298,-0.85187,1.51702,0.00025,1.51745,1.51660,0.07789,0.03848,0.19114,-0.02826,-296.42808,1.82379,-291.95999,-302.15494,795.39831,79.83789,1026.30725,597.38477,2457.70014,133.85380,2832.28320,2039.93872,-1.73541,0.00706,-1.71426,-1.75557,0.44937,0.00535,0.46325,0.43649,0.91983,0.49772,2.00000,0.14341,-3.80744,0.63021,-3.09169,-7.19087,7.81310,0.09234,8.06782,7.54106,3.49324,0.12867,3.89413,3.21661,29.88652,6.51410,60.96329,19.09237,-3.87090,1.51914,-0.98734,-9.38956,-0.00615,0.00955,0.01600,-0.02877,0.92081,0.00990,0.94844,0.89681,5.14319,0.96931,8.83102,3.60235,-5.20038,1.26427,-3.54639,-10.08727
873,2.5542593002319336,178800,4656.15387,-21.26208,-0.14110,0.00147,2.55005,0.00266,5088.91237,-0.78775,0.02818,-0.71364,-0.85576,1.51617,0.00025,1.51659,1.51574,0.07813,0.04322,0.19835,-0.02944,-296.41723,1.83036,-292.22849,-301.34863,790.24010,75.99345,1055.79785,640.78461,2454.87346,131.19508,2911.77588,2111.93213,-1.73557,0.00704,-1.71626,-1.75671,0.45027,0.00518,0.46407,0.43562,0.89744,0.47642,2.00000,0.07505,-3.84784,0.71429,-3.09859,-8.38471,7.81227,0.10386,8.07070,7.52331,3.50604,0.13927,4.04308,3.17454,30.20030,8.26010,79.48326,21.46052,-3.85148,1.41593,-0.56838,-8.87963,-0.00591,0.01009,0.02084,-0.03087,0.92047,0.00974,0.94249,0.89565,5.15047,1.06673,8.83598,3.44282,-5.04784,0.96539,-3.32030,-10.00003
874,2.2647976875305176,179000,4666.06146,-228.33935,-0.03241,0.00197,2.26020,0.00253,4490.48231,-0.78711,0.02535,-0.71504,-0.85912,1.51533,0.00023,1.51574,1.51493,0.07579,0.03923,0.19032,-0.01397,-296.73300,1.71913,-293.08456,-301.37949,791.05003,81.08505,1141.37634,629.35663,2456.03130,133.52000,2968.49390,2117.55249,-1.73608,0.00726,-1.71107,-1.75705,0.44919,0.00505,0.46482,0.43613,0.97616,0.49121,2.00000,0.16485,-3.81971,0.78344,-2.99789,-8.38707,7.81766,0.09438,8.03359,7.54238,3.49654,0.13691,4.09137,3.17030,30.26428,8.72369,79.08318,21.02821,-4.05798,2.04134,-1.13291,-13.09567,-0.00534,0.00993,0.01501,-0.03422,0.92065,0.00990,0.94687,0.89358,5.28263,1.08225,8.84014,3.57979,-5.09966,1.07540,-3.47737,-10.00272
875,2.393148183822632,179200,4635.68204,-32.76662,-0.70020,0.00167,2.38920,0.00219,5037.13472,-0.78706,0.02759,-0.69540,-0.85194,1.51451,0.00024,1.51492,1.51409,0.07701,0.04046,0.19852,-0.03313,-296.40569,1.67584,-291.97241,-300.55551,786.73209,79.94012,1095.03992,623.36450,2449.47344,124.97486,2912.30933,2198.28809,-1.73500,0.00742,-1.70926,-1.76219,0.44920,0.00528,0.46742,0.43477,0.97914,0.48339,2.00000,0.28924,-3.80793,0.64211,-3.04625,-7.18791,7.81448,0.09748,8.07987,7.52189,3.50853,0.12650,4.11586,3.21287,30.65974,7.43053,74.47539,21.21265,-3.88840,1.56365,-0.07919,-9.30237,-0.00612,0.00967,0.01711,-0.03728,0.92164,0.00964,0.95166,0.89615,5.21746,1.08243,8.84409,3.65369,-5.23756,1.12517,-3.34998,-10.08361
876,2.3268566131591797,179400,4815.26110,-138.44971,-0.32854,0.00168,2.32259,0.00251,5235.81364,-0.78785,0.02719,-0.71719,-0.86360,1.51366,0.00026,1.51409,1.51322,0.08365,0.04656,0.17338,-0.06817,-296.61542,1.93004,-291.51367,-301.63037,775.01542,80.15524,1038.46179,608.07678,2449.52334,131.55491,2802.30640,2111.51221,-1.73478,0.00721,-1.71692,-1.75467,0.44944,0.00560,0.46616,0.43479,0.91838,0.50696,2.00000,0.23409,-4.03035,0.93224,-3.06253,-8.38293,7.79819,0.11232,8.16451,7.58167,3.51135,0.14267,4.16192,3.21944,31.72037,9.72560,77.48942,20.50824,-3.79079,1.57024,-1.29000,-11.68434,-0.00469,0.01060,0.02647,-0.03084,0.92085,0.01073,0.94667,0.89738,5.26231,1.01760,8.84409,3.70369,-5.13305,0.89612,-3.57167,-9.40794
877,1.8305168151855469,179600,4784.77432,-54.18839,-0.59914,0.00179,1.82663,0.00203,4897.48286,-0.78679,0.02726,-0.71925,-0.86033,1.51281,0.00022,1.51321,1.51243,0.07377,0.03837,0.18198,-0.03096,-296.43241,1.79848,-291.69305,-300.25858,787.62314,75.98578,1103.53772,638.48492,2445.33490,121.76881,2731.05981,2134.33472,-1.73648,0.00678,-1.71895,-1.75242,0.44965,0.00538,0.46760,0.43511,0.96384,0.52990,2.00000,0.22980,-3.89008,0.82430,-3.15339,-8.38410,7.82181,0.09269,8.07480,7.56020,3.52311,0.15048,4.24456,3.18616,31.41265,9.19388,78.36010,20.83046,-3.78311,1.41547,-1.15187,-8.55341,-0.00618,0.00923,0.01510,-0.02988,0.92042,0.00990,0.94272,0.89369,5.24250,1.04132,8.84914,3.56012,-5.16902,1.16724,-3.32209,-9.99878
878,2.0085644721984863,179800,4788.67465,-78.09261,-0.53381,0.00146,2.00497,0.00207,5043.97144,-0.78721,0.02823,-0.71418,-0.87098,1.51202,0.00024,1.51242,1.51160,0.07966,0.04112,0.21653,-0.02900,-296.40035,1.85147,-290.35669,-301.75604,784.29893,72.25084,1030.55896,624.92816,2427.13960,129.94411,2977.85034,2029.14514,-1.73599,0.00665,-1.71847,-1.75412,0.44891,0.00543,0.46266,0.43604,0.95421,0.47046,2.00000,0.25006,-3.87002,0.80232,-3.07749,-8.38299,7.80733,0.09947,8.07011,7.47601,3.50790,0.13838,3.99910,3.20307,30.34560,9.14177,79.96188,21.25092,-4.06141,1.62928,-0.89607,-9.54087,-0.00554,0.00939,0.01922,-0.03029,0.91948,0.00940,0.94534,0.89674,5.27440,0.97744,8.85348,3.65490,-5.03007,1.04665,-3.41982,-9.99412
879,1.8005039691925049,180000,4685.73897,-170.95571,-0.35973,0.00145,1.79697,0.00202,3943.57649,-0.78387,0.02727,-0.72219,-0.85668,1.51119,0.00024,1.51160,1.51078,0.07732,0.04012,0.18126,-0.02421,-296.50614,1.66312,-292.35944,-300.72073,780.22474,81.50266,1041.96851,613.15472,2436.63257,129.74038,2818.29810,2115.27197,-1.73591,0.00675,-1.71940,-1.75980,0.44853,0.00551,0.46330,0.43617,0.90081,0.49612,2.00000,0.16531,-3.78985,0.65041,-3.03797,-7.18197,7.81274,0.09717,8.05867,7.56116,3.49089,0.12908,4.13447,3.18568,29.60888,7.28066,75.63348,20.96860,-3.85624,1.66912,-0.10659,-10.39862,-0.00545,0.00940,0.01885,-0.02883,0.91978,0.00987,0.94769,0.89015,5.19603,1.07053,8.85901,3.32038,-5.11909,1.13759,-3.26664,-9.99229
880,2.5331780910491943,180200,4682.58132,-56.58411,-0.26557,0.00123,2.52920,0.00265,3553.20176,-0.78565,0.02763,-0.70975,-0.86175,1.51033,0.00027,1.51078,1.50987,0.08875,0.04068,0.22127,-0.02310,-296.55365,1.73587,-292.65698,-301.00058,778.32918,76.48985,1140.64880,632.63177,2440.70271,136.21366,2918.84106,2095.79370,-1.73548,0.00704,-1.71666,-1.75663,0.44826,0.00567,0.46393,0.43521,0.93265,0.44872,2.00000,0.24166,-3.80758,0.66843,-3.08847,-7.05748,7.78476,0.09867,8.05599,7.46312,3.49943,0.12978,3.95635,3.08932,30.18441,7.10435,74.72549,20.40504,-3.80805,1.61971,-0.91256,-10.13159,-0.00665,0.00979,0.02180,-0.03785,0.91817,0.00946,0.94546,0.89659,5.18105,0.99147,8.85739,3.66219,-5.15780,1.27139,-3.50268,-10.07272
881,2.2312142848968506,180400,4762.32408,-25.09923,0.42091,0.00161,2.22695,0.00257,5089.65695,-0.78546,0.02444,-0.71944,-0.84400,1.50945,0.00024,1.50987,1.50902,0.08324,0.04018,0.16829,-0.03447,-296.60796,1.83649,-290.63864,-301.22955,772.32696,75.20941,1022.11371,626.01978,2439.08584,138.28179,2911.35327,2106.01758,-1.73613,0.00729,-1.71625,-1.75344,0.44891,0.00462,0.46374,0.43690,0.90757,0.47965,2.00000,0.09041,-3.84633,0.66880,-3.09039,-7.17878,7.79785,0.09758,8.08371,7.59149,3.49241,0.12866,4.02547,3.21460,30.20903,7.81319,74.53733,20.59420,-4.14752,1.77704,-0.61880,-9.53700,-0.00589,0.00830,0.01651,-0.03080,0.91837,0.00875,0.94036,0.89723,5.02432,0.92400,8.85666,3.51147,-5.07723,1.11658,-3.30615,-10.07507
882,2.3994596004486084,180600,4477.96963,-183.93340,-0.63512,0.00144,2.39535,0.00258,2399.46376,-0.78482,0.02257,-0.69878,-0.84407,1.50857,0.00026,1.50901,1.50813,0.08816,0.04044,0.17507,-0.03086,-296.62773,1.72624,-291.41586,-300.57593,775.03836,81.75310,1040.23047,617.82312,2442.86552,140.71345,2886.14380,2080.58472,-1.73516,0.00688,-1.71718,-1.75492,0.44839,0.00529,0.46245,0.43063,0.93757,0.49273,2.00000,0.15566,-3.87441,0.79329,-3.06630,-8.38512,7.78558,0.09834,8.07502,7.57423,3.49722,0.13692,4.09407,3.14889,30.34154,9.13650,77.91477,21.42612,-4.10093,1.74675,-0.59083,-10.33510,-0.00631,0.00895,0.01511,-0.02667,0.91817,0.00963,0.94388,0.89063,5.14358,0.99137,8.86880,3.57708,-5.02327,1.18200,-3.31354,-10.07849
883,2.2052223682403564,180800,4367.97960,-119.10778,-0.38284,0.00153,2.20147,0.00216,3989.01203,-0.78591,0.02685,-0.69728,-0.85071,1.50772,0.00024,1.50813,1.50732,0.08138,0.03773,0.17906,-0.01387,-296.50707,1.66784,-292.44189,-301.15924,774.36793,80.48516,1053.39880,605.81317,2429.36273,135.31037,2925.13721,2065.56201,-1.73572,0.00700,-1.71838,-1.75137,0.44852,0.00520,0.46585,0.43466,0.91967,0.48915,2.00000,0.21592,-3.83924,0.68763,-3.08649,-8.38474,7.80180,0.09188,8.03378,7.56401,3.51859,0.13280,4.34440,3.25399,30.14539,7.17154,73.85641,22.23325,-4.09966,1.57704,-1.15085,-10.20960,-0.00539,0.00869,0.02086,-0.03537,0.91967,0.00968,0.95117,0.89081,5.16459,0.95203,7.84352,3.54616,-5.05559,1.02117,-3.42983,-10.07585
